model	0.0111574605
question	0.0073021566
data	0.0047068624
training	0.004508347
response	0.0042720684
answer	0.003770145
language	0.003761789
example	0.0034973668
method	0.0032237705
system	0.0031265756
generation	0.0030233893
set	0.0029038012
proceeding	0.0028745378
input	0.0027680963
using	0.0027116311
test	0.002625258
dialogue	0.0026094846
computational	0.0025081357
page	0.0024762072
use	0.0024564895
graph	0.0024178808
neural	0.0024104351
dataset	0.0024015307
human	0.002377892
association	0.0023502514
evaluation	0.0023455773
result	0.0023308904
conference	0.0022891036
natural	0.0022243347
learning	0.0021425355
sentence	0.002141999
two	0.0020301563
show	0.0019481725
also	0.0018787613
performance	0.0018753333
pair	0.0018639698
score	0.0018177087
word	0.0018160917
information	0.0018096725
one	0.0018020194
representation	0.0017739271
table	0.0017688674
given	0.0017409069
different	0.0017361242
task	0.0017188799
work	0.0016615916
semantic	0.001650107
context	0.0016462756
metric	0.0016274457
baseline	0.0016115357
